"","Q","YB","XD","SD","MAD","MSD"
"nbr.val",7,7,7,7,7,7
"nbr.null",0,0,0,1,1,1
"nbr.na",0,0,0,0,0,0
"min",3,2e-01,0.197,-3e-02,0,0
"max",16,1.325,1.325,1.3e-02,3e-02,1e-03
"range",13,1.125,1.128,4.3e-02,3e-02,1e-03
"sum",68,5.65,5.637,-1.3e-02,6.9e-02,1e-03
"median",10,0.875,0.867,0,8e-03,0
"mean",9.714,0.807,0.805,-2e-03,1e-02,0
"SE.mean",1.782,0.166,0.168,6e-03,4e-03,0
"CI.mean.0.95",4.361,0.406,0.412,1.3e-02,9e-03,0
"var",22.238,0.192,0.198,0,0,0
"std.dev",4.716,0.439,0.445,1.5e-02,1e-02,0
"coef.var",0.485,0.544,0.553,-7.837,1.027,1.743
